variationidtemp,Average Rate,Intial_Repayment,balance_outstanding,Repayment,fees,Total_Cost,Flex Points,Cost Score,Flex Score,Total Score
Endeavour Mutual Bank - 32d03346-5885-40d7-9adc-f670264c81b0 - 0 to 84,15.99,729.3823234,0,43762.9394,150,43912.9394,6,0.795771451,3.333333333,1.557040015
Pepper - 2ffe4c51-a237-42a9-8dbe-4c1f9eeb437a - 12 to 84,15.865,727.3915653,0,43643.49392,0,43643.49392,6,0.904508455,3.333333333,1.633155918
The Mac - 030f4fa4-4cda-4868-9527-e3313e9babae - 0 to 84,15.49,721.4373032,0,43286.23819,150,43436.23819,9,0.988148257,5,2.19170378
Bankwest - 32b5caae-5a62-4d6a-ac60-c9f6623447b6 - 12 to 84,14.49,705.6919377,0,42341.51626,849,43190.51626,9,1.087311421,5,2.261117994
Defence Bank - a8f3a9fe-aa1b-49b7-b425-008c87a213fe - 0 to 999,15.35,719.221318,0,43153.27908,0,43153.27908,1,1.102338801,0.555555556,0.938303827
The Mac - d9aae18a-1261-4fd2-ace1-b12fd55bbd41 - 0 to 999,15.05,714.4855128,0,42869.13077,150,43019.13077,1,1.156475487,0.555555556,0.976199508
Northern Beaches Credit Union - e41e5050-0424-4fdc-9c32-1a27f2b0df00 - 0 to 999,14.98,713.3829939,0,42802.97963,195,42997.97963,1,1.165011206,0.555555556,0.982174511
SERVICE ONE Alliance Bank - db56dbf7-c697-4b5d-ae09-53d37f0b2cf8 - 0 to 84,15,713.6979026,0,42821.87416,0,42821.87416,1,1.236080062,0.555555556,1.03192271
Defence Bank - 1e442967-08c0-4858-8e86-28117c68ea1f - 0 to 84,13.99,697.8920041,0,41873.52024,750,42623.52024,6,1.316127461,3.333333333,1.921289223
Circle Alliance Bank - 1550c4dc-5995-4339-8a54-58743a0de38b - 12 to 84,14.5,705.8484324,0,42350.90595,150,42500.90595,1,1.365609498,0.555555556,1.122593315
The Mutual - ebed7289-b24f-42f2-ab15-ec282ceaa368 - 12 to 84,14.24,701.7858874,0,42107.15325,200,42307.15325,0,1.443800039,0,1.010660027
People's Choice Credit Union - e14dbedb-ee6b-4573-9d05-4b968d882f9b - 12 to 84,13.99,697.8920041,0,41873.52024,250,42123.52024,9,1.517906691,5,2.562534684
Now Finance - ad6f5a28-d273-4e79-b697-bf46339dc173 - 18 to 84,12.95,681.8245723,0,40909.47434,1175,42084.47434,5.5,1.533663997,3.055555556,1.990231465
Now Finance - a1035c6e-d55d-4150-b4a9-03e863cf753c - 18 to 84,12.95,681.8245723,0,40909.47434,1175,42084.47434,5.5,1.533663997,3.055555556,1.990231465
Australian Military Bank - a5cf2623-fc25-4f25-91c5-33079487ce8c - 12 to 84,13.4,688.7508201,0,41325.04921,750,42075.04921,9,1.537467589,5,2.576227312
Beyond Bank Australia - 5fcdd467-5374-4bb1-8645-49cc944dc7e4 - 0 to 999,13.99,697.8920041,0,41873.52024,175,42048.52024,1,1.548173576,0.555555556,1.25038817
First Option Credit Union - c2738694-e3dc-4897-9262-12722eeba724 - 12 to 84,13.99,697.8920041,0,41873.52024,175,42048.52024,9,1.548173576,5,2.583721503
First Option Credit Union - 10bbe93a-21f5-4276-9c07-40ac1bee89ae - 1 to 84,13.99,697.8920041,0,41873.52024,175,42048.52024,3,1.548173576,1.666666667,1.583721503
Macquarie Credit Union - b8169b56-881c-42aa-a4e3-76523b712b2e - 0 to 84,13.95,697.2701135,0,41836.20681,140,41976.20681,9,1.577356275,5,2.604149392
Circle Alliance Bank - 7bef2b9b-c4b5-4d8c-8a53-54e15b25935d - 12 to 84,13.9,696.4931893,0,41789.59136,150,41939.59136,9,1.59213275,5,2.614492925
Macquarie Credit Union - 35fa26da-1d83-4154-aa3f-8393a73d65d7 - 0 to 84,13.9,696.4931893,0,41789.59136,140,41929.59136,9,1.596168335,5,2.617317834
Westpac - db70a38d-eff5-4fe9-9b19-2b4d08ec2078 - 12 to 84,12.99,682.4386282,0,40946.31769,970,41916.31769,6,1.601525034,3.333333333,2.121067524
Summerland Credit Union - 6b80b6c9-ff86-4a0a-a261-1856b9b0291d - 0 to 84,13.49,690.1408363,0,41408.45018,475,41883.45018,6,1.614788997,3.333333333,2.130352298
Coastline Credit Union - 83ea43a8-e520-47f2-9350-dcf28bcadd60 - 0 to 999,13.75,694.1653455,0,41649.92073,200,41849.92073,9,1.628320089,5,2.639824063
MOVE - People Driven Banking - fa7b41ef-95b6-42fe-b574-de4c66c32e4c - 1 to 84,13.74,694.0103122,0,41640.61873,150,41790.61873,4,1.652251912,2.222222222,1.823243005
ANZ - 5b893b89-455c-4d28-8856-af633d4ae35d - 0 to 999,12.7,677.9938554,0,40679.63132,1100,41779.63132,1,1.656685975,0.555555556,1.326346849
MyState - 82c004a9-a6d6-4908-b68c-699772d4e23e - 0 to 84,12.99,682.4386282,0,40946.31769,800,41746.31769,9,1.670129972,5,2.669090981
Credit Union SA - a5656385-a428-4a3e-ae7b-028ab8cf1daa - 12 to 84,13.6,691.8418992,0,41510.51395,195,41705.51395,9,1.686596668,5,2.680617667
Commonwealth Bank of Australia - a45aa80c-4f55-4b3b-8d72-0cb9df2ff0cd - 60 to 72,12.99,682.4386282,0,40946.31769,750,41696.31769,6,1.690307895,3.333333333,2.183215527
Bank of Melbourne - 70a2f725-56ef-4511-84be-24abbd174d72 - 12 to 84,12.74,678.6059432,0,40716.35659,915,41631.35659,9,1.716523498,5,2.701566448
