variationidtemp,Average Rate,Intial_Repayment,balance_outstanding,Repayment,fees,Total_Cost
The Mac - de0b1a0f-a071-4fd2-9559-c64584c30aac - 0 to 84,12.49,674.7855684167909,0,40487.13410500745,150.0,40637.13410500745
Transport Mutual Credit Union - e07df198-f0fc-4276-974f-b0007f0d53c1 - 12 to 84,6.54,587.5466880352733,0,35252.8012821164,0.0,35252.8012821164
Transport Mutual Credit Union - 3f932f0b-49b3-412a-8bcc-a426e81b62e5 - 12 to 84,7.64,603.1362795096057,0,36188.17677057634,0.0,36188.17677057634
UniBank - f5956ce8-afef-41fe-9698-eed10faa4853 - 1 to 72,9.95,636.6735310303976,0,38200.41186182386,100.0,38300.41186182386
UniBank - 9aab253e-654e-457c-b513-269467e24b05 - 1 to 96,8.39,613.906688592657,0,36834.401315559415,100.0,36934.401315559415
Bank First - 29b712d5-bb1f-482f-a3ab-af00802f360e - 0 to 108,5.79,577.059145198275,0,34623.5487118965,150.0,34773.5487118965
Bank First - c8d266d5-c356-4655-bbdf-12b7db18d24a - 0 to 108,6.79,591.068104452781,0,35464.08626716686,150.0,35614.08626716686
Bank First - b8b89837-52f3-4895-a5b5-aab0e430698b - 0 to 108,5.29,570.131508492483,0,34207.89050954898,150.0,34357.89050954898
Bank First - 221ff0cc-46fa-44b4-af48-ed853c67b2c4 - 0 to 999,13.19,685.5136241003589,0,41130.81744602154,300.0,41430.81744602154
Woolworths Employees CU - ba7e80b4-c3b8-42f1-bb5f-7cd33c48441c - 6 to 72,9.64,632.1103140705563,0,37926.61884423338,100.0,38026.61884423338
CUA - f8f5be7f-aa42-4d0f-ad24-a938ab340815 - 1 to 84,10.89,650.6281596594766,0,39037.6895795686,0.0,39037.6895795686
Latitude Financial Services - 34ca5e81-0b76-45d3-92fb-6b651168f1e8 - 24 to 84,10.99,652.1230894991846,0,39127.38536995108,1030.0,40157.38536995108
MOVE - People Driven Banking - 0150549b-bbab-4ad9-86c9-3b88896b94d7 - 0 to 999,12.29,671.7381473458914,0,40304.288840753485,450.0,40754.288840753485
First Option Credit Union - 10bbe93a-21f5-4276-9c07-40ac1bee89ae - 1 to 84,13.99,697.892004060831,0,41873.52024364986,175.0,42048.52024364986
Credit Union SA - a5656385-a428-4a3e-ae7b-028ab8cf1daa - 12 to 84,13.6,691.8418991688783,0,41510.51395013269,195.0,41705.51395013269
Credit Union SA - 5e17306a-e19e-4c8e-ac93-ac2e01312691 - 12 to 84,7.99,608.1482635424387,0,36488.895812546325,195.0,36683.895812546325
NRMA Car Loans - 56110683-67eb-4cb1-b202-45020092e733 - 12 to 84,7.49,600.9959088989517,0,36059.7545339371,,
Pepper - 2ffe4c51-a237-42a9-8dbe-4c1f9eeb437a - 12 to 84,15.864999999999998,727.3915653049899,0,43643.49391829939,0.0,43643.49391829939
